State,Year,Month,Condition,BeneficiaryCount,PercentageOfBeneficiaries,DataQuality
Alabama,2018,201801,Acute bronchitis,"6,871",0.6,
Alabama,2018,201801,Acute respiratory distress syndrome,249,0.0,
Alabama,2018,201801,Bronchitis NOS,"2,301",0.2,
Alabama,2018,201801,COVID-19 diagnosis,0,0.0,
Alabama,2018,201801,Influenza,"37,848",3.1,
Alabama,2018,201801,Lower or acute respiratory infection,159,0.0,
Alabama,2018,201801,Pneumonia,"3,963",0.3,
Alabama,2018,201801,Respiratory infection NOS,"31,500",2.6,
Alabama,2018,201801,Suspected COVID-19 diagnosis,25,0.0,
Alabama,2018,201802,Acute bronchitis,"5,786",0.5,
Alabama,2018,201802,Acute respiratory distress syndrome,179,0.0,
Alabama,2018,201802,Bronchitis NOS,"2,016",0.2,
Alabama,2018,201802,COVID-19 diagnosis,0,0.0,
Alabama,2018,201802,Influenza,"23,565",1.9,
Alabama,2018,201802,Lower or acute respiratory infection,131,0.0,
Alabama,2018,201802,Pneumonia,"3,278",0.3,
Alabama,2018,201802,Respiratory infection NOS,"28,258",2.3,
Alabama,2018,201802,Suspected COVID-19 diagnosis,24,0.0,
Alabama,2018,201803,Acute bronchitis,"4,423",0.4,
Alabama,2018,201803,Acute respiratory distress syndrome,183,0.0,
Alabama,2018,201803,Bronchitis NOS,"1,506",0.1,
Alabama,2018,201803,COVID-19 diagnosis,0,0.0,
Alabama,2018,201803,Influenza,"2,981",0.2,
Alabama,2018,201803,Lower or acute respiratory infection,119,0.0,
Alabama,2018,201803,Pneumonia,"2,846",0.2,
Alabama,2018,201803,Respiratory infection NOS,"20,666",1.7,
Alabama,2018,201803,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201804,Acute bronchitis,"3,843",0.3,
Alabama,2018,201804,Acute respiratory distress syndrome,160,0.0,
Alabama,2018,201804,Bronchitis NOS,"1,279",0.1,
Alabama,2018,201804,COVID-19 diagnosis,0,0.0,
Alabama,2018,201804,Influenza,"1,221",0.1,
Alabama,2018,201804,Lower or acute respiratory infection,101,0.0,
Alabama,2018,201804,Pneumonia,"2,571",0.2,
Alabama,2018,201804,Respiratory infection NOS,"16,563",1.3,
Alabama,2018,201804,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201805,Acute bronchitis,"3,296",0.3,
Alabama,2018,201805,Acute respiratory distress syndrome,148,0.0,
Alabama,2018,201805,Bronchitis NOS,"1,077",0.1,
Alabama,2018,201805,COVID-19 diagnosis,0,0.0,
Alabama,2018,201805,Influenza,568,0.0,
Alabama,2018,201805,Lower or acute respiratory infection,86,0.0,
Alabama,2018,201805,Pneumonia,"2,527",0.2,
Alabama,2018,201805,Respiratory infection NOS,"14,397",1.2,
Alabama,2018,201805,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201806,Acute bronchitis,"1,987",0.2,
Alabama,2018,201806,Acute respiratory distress syndrome,113,0.0,
Alabama,2018,201806,Bronchitis NOS,749,0.1,
Alabama,2018,201806,COVID-19 diagnosis,0,0.0,
Alabama,2018,201806,Influenza,265,0.0,
Alabama,2018,201806,Lower or acute respiratory infection,66,0.0,
Alabama,2018,201806,Pneumonia,"2,035",0.2,
Alabama,2018,201806,Respiratory infection NOS,"7,981",0.6,
Alabama,2018,201806,Suspected COVID-19 diagnosis,0,0.0,
Alabama,2018,201807,Acute bronchitis,"1,741",0.1,
Alabama,2018,201807,Acute respiratory distress syndrome,98,0.0,
Alabama,2018,201807,Bronchitis NOS,643,0.1,
Alabama,2018,201807,COVID-19 diagnosis,0,0.0,
Alabama,2018,201807,Influenza,158,0.0,
Alabama,2018,201807,Lower or acute respiratory infection,31,0.0,
Alabama,2018,201807,Pneumonia,"1,863",0.1,
Alabama,2018,201807,Respiratory infection NOS,"7,371",0.6,
Alabama,2018,201807,Suspected COVID-19 diagnosis,0,0.0,
Alabama,2018,201808,Acute bronchitis,"3,171",0.2,
Alabama,2018,201808,Acute respiratory distress syndrome,110,0.0,
Alabama,2018,201808,Bronchitis NOS,"1,102",0.1,
Alabama,2018,201808,COVID-19 diagnosis,0,0.0,
Alabama,2018,201808,Influenza,471,0.0,
Alabama,2018,201808,Lower or acute respiratory infection,93,0.0,
Alabama,2018,201808,Pneumonia,"2,165",0.2,
Alabama,2018,201808,Respiratory infection NOS,"19,049",1.5,
Alabama,2018,201808,Suspected COVID-19 diagnosis,0,0.0,
Alabama,2018,201809,Acute bronchitis,"3,667",0.3,
Alabama,2018,201809,Acute respiratory distress syndrome,104,0.0,
Alabama,2018,201809,Bronchitis NOS,"1,274",0.1,
Alabama,2018,201809,COVID-19 diagnosis,0,0.0,
Alabama,2018,201809,Influenza,833,0.1,
Alabama,2018,201809,Lower or acute respiratory infection,93,0.0,
Alabama,2018,201809,Pneumonia,"2,219",0.2,
Alabama,2018,201809,Respiratory infection NOS,"18,258",1.4,
Alabama,2018,201809,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201810,Acute bronchitis,"4,845",0.4,
Alabama,2018,201810,Acute respiratory distress syndrome,134,0.0,
Alabama,2018,201810,Bronchitis NOS,"1,467",0.1,
Alabama,2018,201810,COVID-19 diagnosis,0,0.0,
Alabama,2018,201810,Influenza,"1,259",0.1,
Alabama,2018,201810,Lower or acute respiratory infection,134,0.0,
Alabama,2018,201810,Pneumonia,"2,627",0.2,
Alabama,2018,201810,Respiratory infection NOS,"23,936",1.8,
Alabama,2018,201810,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201811,Acute bronchitis,"5,897",0.5,
Alabama,2018,201811,Acute respiratory distress syndrome,145,0.0,
Alabama,2018,201811,Bronchitis NOS,"1,897",0.1,
Alabama,2018,201811,COVID-19 diagnosis,0,0.0,
Alabama,2018,201811,Influenza,"1,368",0.1,
Alabama,2018,201811,Lower or acute respiratory infection,148,0.0,
Alabama,2018,201811,Pneumonia,"3,023",0.2,
Alabama,2018,201811,Respiratory infection NOS,"29,754",2.3,
Alabama,2018,201811,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2018,201812,Acute bronchitis,"5,549",0.4,
Alabama,2018,201812,Acute respiratory distress syndrome,160,0.0,
Alabama,2018,201812,Bronchitis NOS,"1,834",0.1,
Alabama,2018,201812,COVID-19 diagnosis,0,0.0,
Alabama,2018,201812,Influenza,"7,246",0.6,
Alabama,2018,201812,Lower or acute respiratory infection,141,0.0,
Alabama,2018,201812,Pneumonia,"3,332",0.3,
Alabama,2018,201812,Respiratory infection NOS,"27,357",2.1,
Alabama,2018,201812,Suspected COVID-19 diagnosis,19,0.0,
Alabama,2019,201901,Acute bronchitis,"5,198",0.4,
Alabama,2019,201901,Acute respiratory distress syndrome,145,0.0,
Alabama,2019,201901,Bronchitis NOS,"1,764",0.1,
Alabama,2019,201901,COVID-19 diagnosis,0,0.0,
Alabama,2019,201901,Influenza,"17,455",1.3,
Alabama,2019,201901,Lower or acute respiratory infection,151,0.0,
Alabama,2019,201901,Pneumonia,"3,001",0.2,
Alabama,2019,201901,Respiratory infection NOS,"29,086",2.2,
Alabama,2019,201901,Suspected COVID-19 diagnosis,28,0.0,
Alabama,2019,201902,Acute bronchitis,"5,036",0.4,
Alabama,2019,201902,Acute respiratory distress syndrome,130,0.0,
Alabama,2019,201902,Bronchitis NOS,"1,781",0.1,
Alabama,2019,201902,COVID-19 diagnosis,0,0.0,
Alabama,2019,201902,Influenza,"36,893",2.8,
Alabama,2019,201902,Lower or acute respiratory infection,152,0.0,
Alabama,2019,201902,Pneumonia,"2,914",0.2,
Alabama,2019,201902,Respiratory infection NOS,"29,516",2.2,
Alabama,2019,201902,Suspected COVID-19 diagnosis,26,0.0,
Alabama,2019,201903,Acute bronchitis,"4,144",0.3,
Alabama,2019,201903,Acute respiratory distress syndrome,121,0.0,
Alabama,2019,201903,Bronchitis NOS,"1,438",0.1,
Alabama,2019,201903,COVID-19 diagnosis,0,0.0,
Alabama,2019,201903,Influenza,"11,023",0.8,
Alabama,2019,201903,Lower or acute respiratory infection,99,0.0,
Alabama,2019,201903,Pneumonia,"2,848",0.2,
Alabama,2019,201903,Respiratory infection NOS,"22,621",1.7,
Alabama,2019,201903,Suspected COVID-19 diagnosis,16,0.0,
Alabama,2019,201904,Acute bronchitis,"3,632",0.3,
Alabama,2019,201904,Acute respiratory distress syndrome,103,0.0,
Alabama,2019,201904,Bronchitis NOS,"1,234",0.1,
Alabama,2019,201904,COVID-19 diagnosis,0,0.0,
Alabama,2019,201904,Influenza,"3,678",0.3,
Alabama,2019,201904,Lower or acute respiratory infection,79,0.0,
Alabama,2019,201904,Pneumonia,"2,554",0.2,
Alabama,2019,201904,Respiratory infection NOS,"18,209",1.4,
Alabama,2019,201904,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201905,Acute bronchitis,"3,097",0.2,
Alabama,2019,201905,Acute respiratory distress syndrome,111,0.0,
Alabama,2019,201905,Bronchitis NOS,"1,123",0.1,
Alabama,2019,201905,COVID-19 diagnosis,0,0.0,
Alabama,2019,201905,Influenza,"1,448",0.1,
Alabama,2019,201905,Lower or acute respiratory infection,88,0.0,
Alabama,2019,201905,Pneumonia,"2,372",0.2,
Alabama,2019,201905,Respiratory infection NOS,"15,198",1.2,
Alabama,2019,201905,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201906,Acute bronchitis,"1,861",0.1,
Alabama,2019,201906,Acute respiratory distress syndrome,100,0.0,
Alabama,2019,201906,Bronchitis NOS,722,0.1,
Alabama,2019,201906,COVID-19 diagnosis,0,0.0,
Alabama,2019,201906,Influenza,505,0.0,
Alabama,2019,201906,Lower or acute respiratory infection,53,0.0,
Alabama,2019,201906,Pneumonia,"2,037",0.2,
Alabama,2019,201906,Respiratory infection NOS,"8,804",0.7,
Alabama,2019,201906,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201907,Acute bronchitis,"1,624",0.1,
Alabama,2019,201907,Acute respiratory distress syndrome,126,0.0,
Alabama,2019,201907,Bronchitis NOS,679,0.1,
Alabama,2019,201907,COVID-19 diagnosis,0,0.0,
Alabama,2019,201907,Influenza,345,0.0,
Alabama,2019,201907,Lower or acute respiratory infection,39,0.0,
Alabama,2019,201907,Pneumonia,"1,894",0.1,
Alabama,2019,201907,Respiratory infection NOS,"8,227",0.6,
Alabama,2019,201907,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201908,Acute bronchitis,"2,750",0.2,
Alabama,2019,201908,Acute respiratory distress syndrome,150,0.0,
Alabama,2019,201908,Bronchitis NOS,981,0.1,
Alabama,2019,201908,COVID-19 diagnosis,0,0.0,
Alabama,2019,201908,Influenza,"1,019",0.1,
Alabama,2019,201908,Lower or acute respiratory infection,77,0.0,
Alabama,2019,201908,Pneumonia,"1,989",0.1,
Alabama,2019,201908,Respiratory infection NOS,"18,689",1.4,
Alabama,2019,201908,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201909,Acute bronchitis,"3,673",0.3,
Alabama,2019,201909,Acute respiratory distress syndrome,158,0.0,
Alabama,2019,201909,Bronchitis NOS,"1,196",0.1,
Alabama,2019,201909,COVID-19 diagnosis,0,0.0,
Alabama,2019,201909,Influenza,"2,113",0.2,
Alabama,2019,201909,Lower or acute respiratory infection,110,0.0,
Alabama,2019,201909,Pneumonia,"2,326",0.2,
Alabama,2019,201909,Respiratory infection NOS,"20,571",1.6,
Alabama,2019,201909,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201910,Acute bronchitis,"4,289",0.3,
Alabama,2019,201910,Acute respiratory distress syndrome,199,0.0,
Alabama,2019,201910,Bronchitis NOS,"1,496",0.1,
Alabama,2019,201910,COVID-19 diagnosis,0,0.0,
Alabama,2019,201910,Influenza,"2,698",0.2,
Alabama,2019,201910,Lower or acute respiratory infection,145,0.0,
Alabama,2019,201910,Pneumonia,"2,597",0.2,
Alabama,2019,201910,Respiratory infection NOS,"23,831",1.8,
Alabama,2019,201910,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201911,Acute bronchitis,"5,861",0.5,
Alabama,2019,201911,Acute respiratory distress syndrome,209,0.0,
Alabama,2019,201911,Bronchitis NOS,"1,944",0.2,
Alabama,2019,201911,COVID-19 diagnosis,0,0.0,
Alabama,2019,201911,Influenza,"7,360",0.6,
Alabama,2019,201911,Lower or acute respiratory infection,240,0.0,
Alabama,2019,201911,Pneumonia,"3,334",0.3,
Alabama,2019,201911,Respiratory infection NOS,"31,732",2.5,
Alabama,2019,201911,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2019,201912,Acute bronchitis,"5,400",0.4,
Alabama,2019,201912,Acute respiratory distress syndrome,234,0.0,
Alabama,2019,201912,Bronchitis NOS,"2,001",0.2,
Alabama,2019,201912,COVID-19 diagnosis,0,0.0,
Alabama,2019,201912,Influenza,"23,093",1.9,
Alabama,2019,201912,Lower or acute respiratory infection,265,0.0,
Alabama,2019,201912,Pneumonia,"3,380",0.3,
Alabama,2019,201912,Respiratory infection NOS,"29,437",2.4,
Alabama,2019,201912,Suspected COVID-19 diagnosis,DS,DS,
Alabama,2020,202001,Acute bronchitis,"4,712",0.4,
Alabama,2020,202001,Acute respiratory distress syndrome,239,0.0,
Alabama,2020,202001,Bronchitis NOS,"1,743",0.1,
Alabama,2020,202001,COVID-19 diagnosis,0,0.0,
Alabama,2020,202001,Influenza,"26,473",2.2,
Alabama,2020,202001,Lower or acute respiratory infection,235,0.0,
Alabama,2020,202001,Pneumonia,"3,089",0.3,
Alabama,2020,202001,Respiratory infection NOS,"28,854",2.4,
Alabama,2020,202001,Suspected COVID-19 diagnosis,21,0.0,
Alabama,2020,202002,Acute bronchitis,"4,827",0.4,
Alabama,2020,202002,Acute respiratory distress syndrome,226,0.0,
Alabama,2020,202002,Bronchitis NOS,"1,640",0.1,
Alabama,2020,202002,COVID-19 diagnosis,0,0.0,
Alabama,2020,202002,Influenza,"27,720",2.3,
Alabama,2020,202002,Lower or acute respiratory infection,198,0.0,
Alabama,2020,202002,Pneumonia,"3,106",0.3,
Alabama,2020,202002,Respiratory infection NOS,"29,650",2.5,
Alabama,2020,202002,Suspected COVID-19 diagnosis,25,0.0,
Alabama,2020,202003,Acute bronchitis,"4,150",0.4,
Alabama,2020,202003,Acute respiratory distress syndrome,232,0.0,
Alabama,2020,202003,Bronchitis NOS,"1,355",0.1,
Alabama,2020,202003,COVID-19 diagnosis,DS,DS,
Alabama,2020,202003,Influenza,"10,489",0.9,
Alabama,2020,202003,Lower or acute respiratory infection,303,0.0,
Alabama,2020,202003,Pneumonia,"2,922",0.2,
Alabama,2020,202003,Respiratory infection NOS,"23,726",2.0,
Alabama,2020,202003,Suspected COVID-19 diagnosis,105,0.0,
Alabama,2020,202004,Acute bronchitis,"1,181",0.1,
Alabama,2020,202004,Acute respiratory distress syndrome,228,0.0,
Alabama,2020,202004,Bronchitis NOS,433,0.0,
Alabama,2020,202004,COVID-19 diagnosis,430,0.0,
Alabama,2020,202004,Influenza,289,0.0,
Alabama,2020,202004,Lower or acute respiratory infection,115,0.0,
Alabama,2020,202004,Pneumonia,"1,907",0.2,
Alabama,2020,202004,Respiratory infection NOS,"4,779",0.4,
Alabama,2020,202004,Suspected COVID-19 diagnosis,89,0.0,
Alabama,2020,202005,Acute bronchitis,782,0.1,
Alabama,2020,202005,Acute respiratory distress syndrome,197,0.0,
Alabama,2020,202005,Bronchitis NOS,285,0.0,
Alabama,2020,202005,COVID-19 diagnosis,"1,150",0.1,
Alabama,2020,202005,Influenza,156,0.0,
Alabama,2020,202005,Lower or acute respiratory infection,85,0.0,
Alabama,2020,202005,Pneumonia,"1,852",0.2,
Alabama,2020,202005,Respiratory infection NOS,"3,128",0.3,
Alabama,2020,202005,Suspected COVID-19 diagnosis,97,0.0,
Alabama,2020,202006,Acute bronchitis,791,0.1,
Alabama,2020,202006,Acute respiratory distress syndrome,194,0.0,
Alabama,2020,202006,Bronchitis NOS,319,0.0,
Alabama,2020,202006,COVID-19 diagnosis,"2,083",0.2,
Alabama,2020,202006,Influenza,155,0.0,
Alabama,2020,202006,Lower or acute respiratory infection,126,0.0,
Alabama,2020,202006,Pneumonia,"2,009",0.2,
Alabama,2020,202006,Respiratory infection NOS,"4,526",0.4,
Alabama,2020,202006,Suspected COVID-19 diagnosis,104,0.0,
Alabama,2020,202007,Acute bronchitis,953,0.1,
Alabama,2020,202007,Acute respiratory distress syndrome,255,0.0,
Alabama,2020,202007,Bronchitis NOS,351,0.0,
Alabama,2020,202007,COVID-19 diagnosis,"4,531",0.4,
Alabama,2020,202007,Influenza,173,0.0,
Alabama,2020,202007,Lower or acute respiratory infection,189,0.0,
Alabama,2020,202007,Pneumonia,"2,442",0.2,
Alabama,2020,202007,Respiratory infection NOS,"7,343",0.6,
Alabama,2020,202007,Suspected COVID-19 diagnosis,165,0.0,
Alabama,2020,202008,Acute bronchitis,"1,004",0.1,
Alabama,2020,202008,Acute respiratory distress syndrome,247,0.0,
Alabama,2020,202008,Bronchitis NOS,349,0.0,
Alabama,2020,202008,COVID-19 diagnosis,"3,870",0.3,
Alabama,2020,202008,Influenza,143,0.0,
Alabama,2020,202008,Lower or acute respiratory infection,135,0.0,
Alabama,2020,202008,Pneumonia,"2,262",0.2,
Alabama,2020,202008,Respiratory infection NOS,"8,138",0.7,
Alabama,2020,202008,Suspected COVID-19 diagnosis,147,0.0,
Alabama,2020,202009,Acute bronchitis,"1,537",0.1,
Alabama,2020,202009,Acute respiratory distress syndrome,188,0.0,
Alabama,2020,202009,Bronchitis NOS,455,0.0,
Alabama,2020,202009,COVID-19 diagnosis,"2,742",0.2,
Alabama,2020,202009,Influenza,228,0.0,
Alabama,2020,202009,Lower or acute respiratory infection,185,0.0,
Alabama,2020,202009,Pneumonia,"1,996",0.2,
Alabama,2020,202009,Respiratory infection NOS,"12,482",1.0,
Alabama,2020,202009,Suspected COVID-19 diagnosis,89,0.0,
Alabama,2020,202010,Acute bronchitis,"1,776",0.1,
Alabama,2020,202010,Acute respiratory distress syndrome,211,0.0,
Alabama,2020,202010,Bronchitis NOS,515,0.0,
Alabama,2020,202010,COVID-19 diagnosis,"2,950",0.2,
Alabama,2020,202010,Influenza,316,0.0,
Alabama,2020,202010,Lower or acute respiratory infection,164,0.0,
Alabama,2020,202010,Pneumonia,"2,086",0.2,
Alabama,2020,202010,Respiratory infection NOS,"13,954",1.1,
Alabama,2020,202010,Suspected COVID-19 diagnosis,81,0.0,
Alabama,2020,202011,Acute bronchitis,"1,830",0.1,
Alabama,2020,202011,Acute respiratory distress syndrome,237,0.0,
Alabama,2020,202011,Bronchitis NOS,606,0.0,
Alabama,2020,202011,COVID-19 diagnosis,"4,234",0.3,
Alabama,2020,202011,Influenza,400,0.0,
Alabama,2020,202011,Lower or acute respiratory infection,156,0.0,
Alabama,2020,202011,Pneumonia,"2,340",0.2,
Alabama,2020,202011,Respiratory infection NOS,"14,858",1.2,
Alabama,2020,202011,Suspected COVID-19 diagnosis,104,0.0,
Alabama,2020,202012,Acute bronchitis,"1,803",0.1,
Alabama,2020,202012,Acute respiratory distress syndrome,271,0.0,
Alabama,2020,202012,Bronchitis NOS,517,0.0,
Alabama,2020,202012,COVID-19 diagnosis,"7,894",0.6,
Alabama,2020,202012,Influenza,563,0.0,
Alabama,2020,202012,Lower or acute respiratory infection,138,0.0,
Alabama,2020,202012,Pneumonia,"2,796",0.2,
Alabama,2020,202012,Respiratory infection NOS,"15,402",1.2,
Alabama,2020,202012,Suspected COVID-19 diagnosis,233,0.0,
Alabama,2021,202101,Acute bronchitis,"1,659",0.1,
Alabama,2021,202101,Acute respiratory distress syndrome,248,0.0,
Alabama,2021,202101,Bronchitis NOS,531,0.0,
Alabama,2021,202101,COVID-19 diagnosis,"7,917",0.6,
Alabama,2021,202101,Influenza,588,0.0,
Alabama,2021,202101,Lower or acute respiratory infection,171,0.0,
Alabama,2021,202101,Pneumonia,"2,498",0.2,
Alabama,2021,202101,Respiratory infection NOS,"14,534",1.2,
Alabama,2021,202101,Suspected COVID-19 diagnosis,287,0.0,
Alabama,2021,202102,Acute bronchitis,"1,703",0.1,
Alabama,2021,202102,Acute respiratory distress syndrome,205,0.0,
Alabama,2021,202102,Bronchitis NOS,505,0.0,
Alabama,2021,202102,COVID-19 diagnosis,"4,095",0.3,
Alabama,2021,202102,Influenza,562,0.0,
Alabama,2021,202102,Lower or acute respiratory infection,131,0.0,
Alabama,2021,202102,Pneumonia,"1,943",0.2,
